Car Year,Brand,Model,Scale,Color,Maker,Year,Code,Price,Notes,Total Models:,Stats,,,,,,,,,
1963,Lamborghini,350 GTV,1:43,Green,Hachette,2023,350GTV-1,$25.0,,320,Model,Count,Manufacturer,Count,Scale,Count,Color,Count,Year of Addition,Count
1964,Lamborghini,350 GT,1:43,Red,Minichamps,2023,350GT-1,$30.0,,,350 GT,4,Bburago,16,1:10,1,Black,21,2012,1+
1965,Lamborghini,350 GTS,1:43,Blue,Small Wheels,2023,350GTS-1,$60.0,,Ordered:,400 GT,3,CHIMEIMODEL,1,1:12,2,Blue,42,2015,1+
1965,Lamborghini,3500 GTZ,1:43,White,Edicola,2023,3500GTZ-1,$25.0,,Vector M12 (Related),Asterion,1,DeAgostini,2,1:14,2,Tan,1,2016,2+
1966,Lamborghini,400 GT 2+2,1:43,Black,Minichamps,2023,400GT2+2-1,$30.0,,Fenomeno,Athon,1,Del Prado,1,1:16,1,Gray,30,2018,4+
1966,Lamborghini,4000 GT Flying Star II,1:43,Gray,Leo Models,2020,400GTFlstar-1,$15.0,,Veneno/Sian hybrid,Autentica,1,Double Horses,6,1:18,2,Green,36,2019,5+
1966,Lamborghini,400 GT Monza,1:43,Red,Hachette,2023,400GTMonza-1,$30.0,,Aventador LP700-4 (fidget spinner),Aventador,36,Edicola,5,1:20,3,Orange,34,2020,33
1996,Lamborghini,Acosta,1:43,Red,Leo Models,2020,Acosta-1,$15.0,,,Bravo,1,Editura Puisor (paper),3,1:22,6,Pink,2,2021,4
2014,Lamborghini,Asterion LPI910-4,1:43,Blue,Panini,2023,Asterion-1,$20.0,,,Cala,1,F-Toys,1,1:24,10,Red,35,2022,46
1980,Lamborghini,Athon,1:43,Gray,Leo Models,2020,Athon-1,$15.0,,,Centenario,5,Hachette,11,1:25,1,White,50,2023,61
2023,Lamborghini,Autentica,1:22,Green,Unbranded,2026,Autent-1,$19.0,,,Cheetah,1,Hot Wheels,25,1:32,24,Yellow,54,2024,42
2011,Lamborghini,Aventador LP700-4,1:24,Orange,Maisto,2012,Ave-1,$19.0,,,Concept S,1,Jinlifang,2,1:34,2,Turquoise,1,2025,50
2011,Lamborghini,Aventador LP700-4,1:38,White,Kinsmart,201X,Ave-2,$3.0,,,Countach,18,Kinder Surprise,1,1:36,16,Gold,4,2026,13
2011,Lamborghini,Aventador LP700-4,1:38,Gray,Kinsmart,201X,Ave-3,$3.0,,,Diablo,18,Kinsmart,25,1:38,17,Copper,1,Unknown,31
2011,Lamborghini,Aventador LP700-4,1:36,Orange,Double Horses,201X,Ave-4,-,,,Egoista,6,Kyosho,3,1:40,7,,,,
2011,Lamborghini,Aventador LP700-4,1:55,Orange,Siku,201X,Ave-5,-,,,Essenza,1,Lego,1,1:43,102,,,,
2011,Lamborghini,Aventador LP700-4,1:64,Yellow,Unbranded,2020,Ave-6,$1.0,,,Estoque,2,Leo Models,18,1:50,2,,,,
2011,Lamborghini,Aventador LP700-4,1:20,Orange,Unbranded,2025,Ave-7,$8.0,2 wheel car,,Gallardo,26,Maisto,10,1:55,11,,,,
2011,Lamborghini,Aventador LP700-4,1:87,Black,Schuco,201X,Ave-8,-,,,Huracan,39,Majorette,8,1:62,2,,,,
2011,Lamborghini,Aventador LP700-4,1:20,Red,Unbranded,201X,Ave-9,$1.3,,,Jalpa,2,Matchbox,5,1:64,91,,,,
2011,Lamborghini,Aventador LP700-4,1:32,Red,Unbranded,2023,Ave-10,$0.0,Found on the ground,,Jarama,4,Minichamps,3,1:72,3,,,,
2011,Lamborghini,Aventador LP700-4,1:72,Yellow,Unbranded,2025,Ave-11,$1.0,USB Drive,,Konrad,1,Mondo Motors,6,1:87,6,,,,
2011,Lamborghini,Aventador LP700-4,1:64,Yellow,MSCHF/Majorette,2025,Ave-12,$1.0,,,LM,1,MSZ,7,1:100,4,,,,
2015,Lamborghini,Aventador LP700-4 Pirelli Edition,1:38,White,Kinsmart/LAMBOMODELS,2023,AvePir-1,$15.0,,,Marzal,1,NewRay,1,1:222,1,,,,
2015,Lamborghini,LB-Works Aventador LP700-4 Roadster Pirelli Edition,1:64,Pink,Kami Garage,2024,AvePirRoadLB-1,$220.0,Stradman Aventador,,Miura,18,Onyx,2,1:460,1,,,,
2014,Lamborghini,Aventador LP700-4 Nazionale,1:38,Yellow,Kinsmart,201X,AveNaz-1,$4.0,,,Murcielago,23,Panini,2,1:1150,1,,,,
2013,Lamborghini,Aventador LP700-4 Roadster,1:32,Yellow,MSZ,2019,AveRoad-1,$9.0,,,P132,1,Rastar,5,,,,,,
2013,Lamborghini,Aventador LP700-4 Roadster,1:43,Blue,MSZ,2022,AveRoad-2,$4.0,,,P140,1,RMZ City,6,,,,,,
2013,Lamborghini,Aventador LP700-4 Roadster,1:43,Yellow,Bburago,2025,AveRoad-3,$8.0,Sant'Agata,,Portofino,2,RoadBot,2,,,,,,
2012,Lamborghini,Aventador J,1:64,Orange,Hot Wheels,2019,AveJ-1,-,,,Reventon,7,Schuco,1,,,,,,
2016,Lamborghini,Aventador Miura Homage Edition,1:64,Red,Hot Wheels,2025,AveMiura-1,$3.5,,,Revuelto,1,Siku,10,,,,,,
2016,Lamborghini,Aventador Miura Homage Edition,1:64,Red,Hot Wheels,2025,AveMiura-2,$12.0,PTR Signed short card,,SC,5,Small Wheels,1,,,,,,
2013,Lamborghini,Aventador LP720-4 50th Anniversary,1:16,Yellow,Unbranded,2020,AveAnni-1,$11.0,,,Sesto Elemento,5,SS 7702,1,,,,,,
2013,Lamborghini,Aventador LP720-4 50th Anniversary,1:43,Yellow,Leo Models,2025,AveAnni-2,$18.0,,,Sian,5,Suntory Car Graphic,4,,,,,,
2013,Lamborghini,Aventador LP720-4 50th Anniversary Roadster,1:55,Yellow,Bburago/LAMBOMODELS,2024/25,AveAnni-3,$4.0,,,Silhouette,1,Tomica,3,,,,,,
2015,Lamborghini,Aventador LP750-4 SV,1:38,Yellow,RMZ City,2020,AveSV-1,$7.0,,,Terzo Millennio,3,Top Mark,2,,,,,,
2016,Lamborghini,Aventador LP750-4 SV Roadster,1:32,Orange,MSZ,2019,AveSV-2,$14.0,,,Urraco,3,Unbranded,69,,,,,,
2013,Lamborghini,Aventador Police,1:43,White,Unbranded,2023,AvePolice-1,$2.0,Georgia,,Urus,13,Welly,2,,,,,,
2016,Lamborghini,Aventador S,1:87,Yellow,Kinder Surprise,2022,AveS-1,$5.0,,,V12 Vision Gran Turismo,2,Rio Models,1,,,,,,
2017,Lamborghini,Aventador S Roadster,1:43,Blue,Panini,2022,AveSRoad-1,$11.0,,,Veneno,26,AUTOart,2,,,,,,
2018,Lamborghini,Aventador SVJ,1:43,Yellow,Mondo Motors,2020,AveSVJ-1,$5.0,,,Tractor,7,Norev,1,,,,,,
2018,Lamborghini,Aventador SVJ,1:43,Green,LAMBOMODELS,2024,AveSVJ-2,$25.0,,,F1,3,Yow Modellini,5,,,,,,
2019,Lamborghini,Aventador SVJ Roadster,1:64,Gold,MiniGT,2024,AveSVJRoad-1,$17.0,,,Genesis,1,Greenlight,1,,,,,,
2018,Lamborghini,Aventador SVJ 63,1:32,White,MSZ,2023,Ave63SVJ-1,$11.0,,,Marco Polo,1,Polistil,2,,,,,,
2019,Lamborghini,Aventador SVJ Roadster 63,1:22,Black,Unbranded,2023,Ave63SVJRoad-1,$15.0,,,Espada,3,MiniGT,6,,,,,,
2021,Lamborghini,Aventador LP780-4 Ultimae,1:64,White,Hobby Fans,2024,AveUlti-1,$31.0,,,Canto,1,Looksmart,6,,,,,,
2021,Lamborghini,Aventador LP780-4 Ultimae Roadster,1:43,Blue,Looksmart,2024,AveUltiRoad-1,$135.0,,,Islero,3,Chiyono,1,,,,,,
1974,Lamborghini,Bravo,1:43,Tan,Hachette,2023,Bravo-1,$15.0,,,Invencible,1,Kami Garage,1,,,,,,
1995,Lamborghini ,Cala,1:43,Yellow,Hachette,2023,Cala-1,$15.0,,,Temerario,2,Hobby Fans,1,,,,,,
1998,Lamborghini ,Canto,1:43,Orange,Hachette,2023,Canto-1,$30.0,,,Related,9,CCA,1,,,,,,
2016,Lamborghini,Centenario LP770-4,1:43,Red,Maisto,2019,Cent-1,-,,,,,UCC,1,,,,,,
2016,Lamborghini,Centenario LP770-4,1:43,Red,Bburago,2022,Cent-2,$7.5,,,,,MSCHF,1,,,,,,
2016,Lamborghini,Centenario LP770-4,1:55,Gold,Unbranded,2023,Cent-3,$0.5,that fake one,,,,,,,,,,,
2017,Lamborghini,Centenario LP770-4 Roadster,1:64,Gray,Hot Wheels,2019,CentRoad-1,$2.0,,,,,,,,,,,,
2017,Lamborghini,Centenario LP770-4 Roadster,1:64,White,Hot Wheels,2020,CentRoad-2,$4.0,,,,,,,,,,,,
1977,Lamborghini,Cheetah,1:62,White,Tomica,2020,Cheetah-1,$15.0,,,,,,,,,,,,
1974,Lamborghini,Countach LP400,1:100,Black,Suntory Car Graphic,2022,Count400-1,$5.0,,,,,,,,,,,,
1974,Lamborghini,Countach LP400,1:100,Yellow,Suntory Car Graphic,2022,Count400-2,$5.0,,,,,,,,,,,,
1974,Lamborghini,Countach LP400,1:64,Orange,Unbranded,2023,Count400-3,$0.5,,,,,,,,,,,,
1971,Lamborghini,Countach LP500,1:64,Yellow,Matchbox,2022,CountProto-1,$8.0,,,,,,,,,,,,
1977,Lamborghini,Countach LP500R,1:32,Black,Double Horses,2020,Count500R-1,$8.0,,,,,,,,,,,,
1982,Lamborghini,Countach LP400S,1:43,Red,DeAgostini,201X,Count400S-1,-,,,,,,,,,,,,
1982,Lamborghini,Countach LP400S,1:32,White,Lego,2023,Count400S-2,$26.0,,,,,,,,,,,,
1982,Lamborghini,Countach LP5000S Pace Car,1:64,White,Hot Wheels,2022,CountPaceCar-1,$4.0,,,,,,,,,,,,
1982,Lamborghini,Countach LP5000S,1:64,Blue,Hot Wheels,2020,Count5000S-1,$4.5,,,,,,,,,,,,
1982,Lamborghini,Countach LP5000S 'Tooned',1:64,Black,Hot Wheels,2018,CountTooned-1,$4.0,,,,,,,,,,,,
1985,Lamborghini,Countach LP5000 Quattrovalvole,1:140,Green,Unbranded,~2014,CountQV-1,$0.0,,,,,,,,,,,,
1988,Lamborghini,Countach 25th anniversary,1:64,Yellow,Hot Wheels,2022,Count25th-1,$10.0,,,,,,,,,,,,
1994,Lamborghini,Countach Rain-X,1:43,Yellow,Leo Models,2020,CountRainX-1,$15.0,,,,,,,,,,,,
1987,Lamborghini,Countach Evoluzione,1:43,Gray,Leo Models,2020,CountEVO-1,$15.0,,,,,,,,,,,,
1986,Lamborghini,Countach QVX,1:43,Black,Edicola,2023,CountQVX-1,$15.0,,,,,,,,,,,,
1976,Lamborghini,Countach Walter Wolf,1:64,Blue,Tomica,2023,CountWolf-1,$15.0,,,,,,,,,,,,
2021,Lamborghini,Countach LPI800-4,1:24,White,Bburago,2022,CountLPI-1,$26.0,,,,,,,,,,,,
2021,Lamborghini,Countach LPI800-4,1:38,Yellow,Kinsmart,2025,CountLPI-2,$15.0,Museo Ferruccio Lamborghini,,,,,,,,,,,
1990,Lamborghini,Diablo,1:24,Yellow,SS 7702,2011,Diablo-1,-,,,,,,,,,,,,
1990,Lamborghini,Diablo,1:40,Orange,Maisto,2017,Diablo-2,-,,,,,,,,,,,,
1990,Lamborghini,Diablo,1:40,Red,Unbranded,201X,Diablo-3,$3.0,,,,,,,,,,,,
1993,Lamborghini,Diablo VT,1:43,Copper,AUTOart,2023,DiabloVT-1,$30.0,,,,,,,,,,,,
1993,Lamborghini,Diablo SE30,1:32,Red,Unbranded,2022,DiabloSE30-1,$11.0,,,,,,,,,,,,
1995,Lamborghini,Diablo SE30 Jota,1:43,Purple,Ixo,2024,DiabloSE30J-1,$18.0,,,,,,,,,,,,
1996,Lamborghini,Diablo SE Jota Valvoline,1:43,White,Hachette,2023,DiabloValv-1,$15.0,,,,,,,,,,,,
1997,Lamborghini,Diablo VT-R Roadster,1:43,White,Leo Models,2023,DiabloVTRRoad-1,$15.0,,,,,,,,,,,,
